tool,dataset,breakpoint_f1,breakpoint_precision,breakpoint_recall,cell_node_match_accuracy,clone_ari,clone_nmi,hscn_error,loh_f1,loh_precision,loh_recall,msr,nrf_distance,retention_rate,tcn_mse,tree_coverage
SEACON,events_10_rep45,0.8148148148148148,0.8461538461538461,0.7857142857142857,,0.5889878069435072,,0.23652777777777778,0.6666666666666667,0.9764705882352941,0.5060975609756098,,,,,
SEACON,events_10_rep46,0.12903225806451613,0.07035175879396985,0.7777777777777778,,0.17982393308831884,,0.663625,0.6878727634194831,0.9719101123595506,0.5323076923076923,,,,,
SEACON,events_80_rep42,0.6690647482014388,0.5705521472392638,0.808695652173913,,0.3119148931840147,,1.2225912408759123,0.8285435419151935,0.9337570276216084,0.7446393762183235,0.8,,,,
SEACON,events_80_rep43,0.2369337979094077,0.13746630727762804,0.8571428571428571,,0.48516281373872505,,0.645531914893617,0.8989696239796601,0.9727772951057052,0.8355721393034826,0.16666666666666666,,,,
SEACON,events_80_rep44,0.2291407222914072,0.13237410071942446,0.8518518518518519,,0.6993768984022606,,0.7014615384615385,0.9174518639901679,0.9920265780730897,0.8533053915031434,0.6521739130434783,,,,
SEACON,events_80_rep45,0.1418867924528302,0.07704918032786885,0.8952380952380953,,0.6738708004816465,,0.6511811023622047,0.9257717655220258,0.979090242112986,0.8779605263157895,0.918918918918919,,,,
SEACON,events_80_rep46,0.7631578947368421,0.8169014084507042,0.7160493827160493,,0.6061336682862013,,1.2390291262135922,0.7867036011080332,0.8792569659442725,0.7117794486215538,1.0,,,,
SEACON,focal_0_3_rep42,0.08117249154453214,0.04240282685512368,0.9473684210526315,,0.5565919462324191,,2.1144166666666666,0.9321141590468274,0.9911608721272834,0.8797071129707112,0.6666666666666666,,,,
SEACON,focal_0_3_rep43,0.9090909090909091,0.8536585365853658,0.9722222222222222,,0.6455205152038241,,0.4736206896551724,0.9380315917375457,0.9763912310286678,0.9025720966484801,0.0,,,,
SEACON,focal_0_3_rep44,0.1033112582781457,0.05485232067510549,0.8863636363636364,,0.7615265199476515,,0.49446969696969695,0.9590429845904298,0.9987331081081081,0.922386895475819,0.6,,,,
SEACON,focal_0_3_rep45,0.12687813021702835,0.06785714285714285,0.9743589743589743,,0.6840798638492211,,0.9452459016393443,0.9498029809833818,0.9946178686759957,0.9088524590163934,0.9545454545454546,,,,
SEACON,focal_0_3_rep46,0.09843400447427293,0.052256532066508314,0.8461538461538461,,0.6204786037182435,,0.3334375,0.9475758770201025,0.9662379421221865,0.9296210363495746,1.0,,,,
SEACON,focal_1_0_rep42,0.3462532299741602,0.2126984126984127,0.9305555555555556,,0.20907943667411996,,1.297659574468085,0.8892850069320657,0.962280325760823,0.8265832106038291,1.0,,,,
SEACON,focal_1_0_rep43,0.7591240875912408,0.7027027027027027,0.8253968253968254,,0.5991181234585214,,0.7338823529411764,0.717891194615816,0.9495548961424333,0.5770964833183048,,,,,
SEACON,focal_1_0_rep44,0.5507246376811594,0.41304347826086957,0.8260869565217391,,0.4369655870905097,,1.0225824175824176,0.8132530120481928,0.9183673469387755,0.7297297297297297,,,,,
SEACON,focal_1_0_rep45,0.5745454545454545,0.4619883040935672,0.7596153846153846,,0.4534386212403279,,0.5292460317460318,0.8060641858633588,0.9660217083529967,0.691554054054054,0.0,,,,
SEACON,focal_1_0_rep46,0.7222222222222221,0.8478260869565217,0.6290322580645161,,0.2968557685544341,,0.6356547619047619,0.4960806270996641,0.9465811965811965,0.33611532625189683,,,,,
SEACON,normal_0_0_rep42,0.1366120218579235,0.07407407407407407,0.8771929824561403,,0.268162317752068,,1.114367088607595,0.8848651840188938,0.9876977152899824,0.8014260249554367,0.9,,,,
SEACON,normal_0_0_rep43,0.8148148148148148,0.7746478873239436,0.859375,,0.15835086580307273,,0.6808720930232558,0.8589435774309724,0.9527296937416777,0.7819672131147541,0.75,,,,
SEACON,normal_0_0_rep44,0.1265560165975104,0.06777777777777778,0.953125,,0.4398535421121687,,0.9219767441860465,0.8838444820091765,0.9945652173913043,0.7953063885267275,0.5833333333333334,,,,
SEACON,normal_0_0_rep45,0.2679127725856698,0.15579710144927536,0.9555555555555556,,0.4660206603468867,,0.7047014925373134,0.9049250535331905,0.9750807568066451,0.8441869756292449,,,,,
SEACON,normal_0_0_rep46,0.20192307692307693,0.11320754716981132,0.9333333333333333,,0.4948225095373085,,0.6577611940298508,0.8773800456968774,0.9991326973113617,0.7820773930753564,1.0,,,,
SEACON,normal_0_3_rep42,0.27450980392156865,0.16333333333333333,0.8596491228070176,,0.546446071977037,,0.4175949367088608,0.8830359671481167,0.9917302798982188,0.7958141909137315,1.0,,,,
SEACON,normal_0_3_rep43,0.847457627118644,0.9259259259259259,0.78125,,0.34458028946326125,,1.2599418604651162,0.8494921514312096,0.9359104781281791,0.7776838546069316,1.0,,,,
SEACON,normal_0_3_rep44,0.12949640287769784,0.07012987012987013,0.84375,,0.5191152253914223,,1.225813953488372,0.8550084889643462,0.9913385826771653,0.7516417910447761,0.6666666666666666,,,,
