method,dataset,rep,clones,beta,lambdaE,N,pNormal,lambdaDelta,focal,mean_library_size,mean_allelic_coverage,phase_switch,wgd,doublet,hscn_error,tcn_mse,clone_ari,clone_nmi,loh_f1,loh_precision,loh_recall,msr,breakpoint_f1,breakpoint_precision,breakpoint_recall,nrf_distance,tree_coverage,cell_node_match_accuracy,retention_rate
Alleloscope,phaseswitch_0_05_rep44,44,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.05,0.0,0.0,0.6021,NA,0.9766,NA,0.3051,0.3744,0.2574,NA,NA,NA,NA,NA,NA,NA,0.565
Alleloscope,phaseswitch_0_05_rep45,45,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.05,0.0,0.0,0.3007,NA,0.9551,NA,0.6778,0.743,0.6232,NA,NA,NA,NA,NA,NA,NA,0.625
Alleloscope,phaseswitch_0_05_rep46,46,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.05,0.0,0.0,0.2323,NA,0.914,NA,0.4015,0.619,0.2971,NA,NA,NA,NA,NA,NA,NA,0.65
Alleloscope,phaseswitch_0_rep42,42,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.0,0.0,0.0,0.4183,NA,0.6477,NA,0.5302,0.7805,0.4014,NA,NA,NA,NA,NA,NA,NA,0.585
Alleloscope,phaseswitch_0_rep43,43,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.0,0.0,0.0,0.1503,NA,0.6959,NA,0.4192,0.5765,0.3293,NA,NA,NA,NA,NA,NA,NA,0.615
Alleloscope,phaseswitch_0_rep44,44,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.0,0.0,0.0,0.6025,NA,0.9766,NA,0.3049,0.374,0.2574,NA,NA,NA,NA,NA,NA,NA,0.565
Alleloscope,phaseswitch_0_rep45,45,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.0,0.0,0.0,0.3007,NA,0.9551,NA,0.6778,0.743,0.6232,NA,NA,NA,NA,NA,NA,NA,0.625
Alleloscope,phaseswitch_0_rep46,46,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.0,0.0,0.0,0.2311,NA,0.914,NA,0.404,0.6311,0.2971,NA,NA,NA,NA,NA,NA,NA,0.65
Alleloscope,wgd_0_rep42,42,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.4183,NA,0.6477,NA,0.5302,0.7805,0.4014,NA,NA,NA,NA,NA,NA,NA,0.585
Alleloscope,wgd_0_rep43,43,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.1503,NA,0.6959,NA,0.4192,0.5765,0.3293,NA,NA,NA,NA,NA,NA,NA,0.615
Alleloscope,wgd_0_rep44,44,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.6025,NA,0.9766,NA,0.3049,0.374,0.2574,NA,NA,NA,NA,NA,NA,NA,0.565
