tool,dataset,breakpoint_f1,clone_ari,hscn_error,loh_f1,msr,nrf_distance,tcn_mse,tree_coverage
Alleloscope,beta_0_5_rep46,,0.7749,0.3276,0.0135,,,,
Alleloscope,cells_500_rep42,,0.7443,0.4148,0.5342,,,,
Alleloscope,cells_500_rep43,,0.6943,0.1497,0.4589,,,,
Alleloscope,cells_500_rep44,,0.8847,0.603,0.4061,,,,
Alleloscope,cells_500_rep45,,0.7918,0.3238,0.6751,,,,
Alleloscope,cells_500_rep46,,0.8893,0.2256,0.4151,,,,
Alleloscope,cells_50_rep42,,0.9334,0.3902,0.511,,,,
Alleloscope,cells_50_rep43,,0.5263,0.0919,0.4962,,,,
Alleloscope,cells_50_rep44,,1,0.5877,0.4297,,,,
Alleloscope,cells_50_rep45,,0.72,0.3758,0.5156,,,,
Alleloscope,cells_50_rep46,,-0.043,0.2944,0,,,,
Alleloscope,clone_2_rep42,,1,0.4088,0.5385,,,,
Alleloscope,clone_2_rep43,,0.4896,0.2001,0.056,,,,
Alleloscope,clone_2_rep44,,1,0.6035,0.5093,,,,
Alleloscope,clone_2_rep45,,1,0.3345,0.7198,,,,
Alleloscope,clone_2_rep46,,0.2719,0.1401,0.0584,,,,
Alleloscope,clone_4_rep42,,0.9125,0.3359,0.512,,,,
Alleloscope,clone_4_rep43,,0.807,0.1807,0.2086,,,,
Alleloscope,clone_4_rep44,,1,0.4234,0.5511,,,,
Alleloscope,clone_4_rep45,,0.6748,0.2266,0.6212,,,,
Alleloscope,clone_4_rep46,,0.7749,0.3276,0.0135,,,,
Alleloscope,clone_8_rep42,,0.4759,0.1854,0.2102,,,,
Alleloscope,clone_8_rep43,,0.7249,0.088,0.591,,,,
Alleloscope,clone_8_rep44,,0.5922,0.1699,0.4338,,,,
Alleloscope,clone_8_rep45,,0.8866,0.181,0.7632,,,,
Alleloscope,clone_8_rep46,,0.3126,0.3316,0.5996,,,,
Alleloscope,events_10_rep42,,0.4508,0.1,0.5329,,,,
Alleloscope,events_10_rep43,,0.6899,0.1214,0.4922,,,,
Alleloscope,events_10_rep44,,0.5902,0.261,0.584,,,,
Alleloscope,events_10_rep45,,0.3447,0.1135,0.1513,,,,
Alleloscope,events_10_rep46,,0.5325,0.1374,0.0048,,,,
Alleloscope,events_80_rep42,,0.5479,0.5575,0.3845,,,,
Alleloscope,events_80_rep43,,0.6456,0.3414,0.5665,,,,
Alleloscope,events_80_rep44,,0.838,0.8019,0.4397,,,,
Alleloscope,events_80_rep45,,0.8699,0.4813,0.6857,,,,
Alleloscope,events_80_rep46,,0.6736,0.2973,0.4787,,,,
Alleloscope,focal_0_3_rep42,,1,0.4809,0.5419,,,,
Alleloscope,focal_0_3_rep43,,0.8025,0.3052,0.6995,,,,
Alleloscope,focal_0_3_rep44,,0.642,0.6463,0.7125,,,,
Alleloscope,focal_0_3_rep45,,1,0.5473,0.6849,,,,
Alleloscope,focal_0_3_rep46,,0.8297,0.6104,0.6661,,,,
Alleloscope,focal_1_0_rep42,,0.3488,0.3877,0,,,,
Alleloscope,focal_1_0_rep43,,0.0132,0.2373,0,,,,
Alleloscope,focal_1_0_rep44,,0.5511,0.5018,0,,,,
Alleloscope,focal_1_0_rep45,,0.6275,0.2943,0.0056,,,,
Alleloscope,focal_1_0_rep46,,0,0.196,0,,,,
Alleloscope,normal_0_0_rep42,,0.781,0.6023,0.4728,,,,
Alleloscope,normal_0_0_rep43,,1,0.1844,0.4367,,,,
Alleloscope,normal_0_0_rep44,,1,0.6156,0.3228,,,,
Alleloscope,normal_0_0_rep45,,1,0.4416,0.6462,,,,
Alleloscope,normal_0_0_rep46,,0.7212,0.2628,0.4191,,,,
Alleloscope,normal_0_3_rep42,,0.6944,0.2842,0.5289,,,,
Alleloscope,normal_0_3_rep43,,0.4678,0.0755,0.4149,,,,
Alleloscope,normal_0_3_rep44,,0.9154,0.4991,0.2884,,,,
Alleloscope,normal_0_3_rep45,,0.9693,0.2124,0.6756,,,,
Alleloscope,normal_0_3_rep46,,0.513,0.1696,0.4176,,,,
CONET,amplitude_1_0_rep42,0.43298969072164956,,,,,0.375,,1.0
