cell	cell_index	clone_assignment	segment	start_bin	end_bin	cn_A	cn_B	total_cn	loh
cell70	70	4	1	47	74	1	2	3	False
cell70	70	4	2	75	80	1	2	3	False
cell70	70	4	3	81	83	1	2	3	False
cell70	70	4	4	84	86	1	2	3	False
cell70	70	4	5	87	89	1	2	3	False
cell70	70	4	6	90	243	1	2	3	False
cell70	70	4	7	244	497	1	1	2	False
cell71	71	3	0	0	46	1	2	3	False
cell71	71	3	1	47	74	1	2	3	False
cell71	71	3	2	75	80	1	2	3	False
cell71	71	3	3	81	83	1	2	3	False
cell71	71	3	4	84	86	1	2	3	False
cell71	71	3	5	87	89	1	2	3	False
cell71	71	3	6	90	243	1	2	3	False
cell71	71	3	7	244	497	1	1	2	False
cell72	72	3	0	0	46	1	2	3	False
cell72	72	3	1	47	74	1	2	3	False
cell72	72	3	2	75	80	1	2	3	False
cell72	72	3	3	81	83	1	2	3	False
cell72	72	3	4	84	86	1	2	3	False
cell72	72	3	5	87	89	1	2	3	False
cell72	72	3	6	90	243	1	2	3	False
cell72	72	3	7	244	497	1	1	2	False
cell73	73	8	0	0	46	1	1	2	False
cell73	73	8	1	47	74	2	1	3	False
cell73	73	8	2	75	80	2	0	2	True
cell73	73	8	3	81	83	1	0	1	True
cell73	73	8	4	84	86	0	0	0	False
cell73	73	8	5	87	89	1	0	1	True
cell73	73	8	6	90	243	1	1	2	False
cell73	73	8	7	244	497	1	1	2	False
cell74	74	3	0	0	46	1	2	3	False
cell74	74	3	1	47	74	1	2	3	False
cell74	74	3	2	75	80	1	2	3	False
cell74	74	3	3	81	83	1	2	3	False
cell74	74	3	4	84	86	1	2	3	False
cell74	74	3	5	87	89	1	2	3	False
cell74	74	3	6	90	243	1	2	3	False
cell74	74	3	7	244	497	1	1	2	False
cell75	75	3	0	0	46	1	2	3	False
cell75	75	3	1	47	74	1	2	3	False
cell75	75	3	2	75	80	1	2	3	False
cell75	75	3	3	81	83	1	2	3	False
cell75	75	3	4	84	86	1	2	3	False
cell75	75	3	5	87	89	1	2	3	False
cell75	75	3	6	90	243	1	2	3	False
cell75	75	3	7	244	497	1	1	2	False
cell76	76	3	0	0	46	1	2	3	False
cell76	76	3	1	47	74	1	2	3	False
cell76	76	3	2	75	80	1	2	3	False
cell76	76	3	3	81	83	1	2	3	False
cell76	76	3	4	84	86	1	2	3	False
cell76	76	3	5	87	89	1	2	3	False
cell76	76	3	6	90	243	1	2	3	False
cell76	76	3	7	244	497	1	1	2	False
cell77	77	3	0	0	46	1	2	3	False
cell77	77	3	1	47	74	1	2	3	False
cell77	77	3	2	75	80	1	2	3	False
cell77	77	3	3	81	83	1	2	3	False
cell77	77	3	4	84	86	1	2	3	False
cell77	77	3	5	87	89	1	2	3	False
cell77	77	3	6	90	243	1	2	3	False
cell77	77	3	7	244	497	1	1	2	False
cell78	78	3	0	0	46	1	2	3	False
